"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Krishna","2023-02-15","2023","02","2.142E-6","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-16","2023","02","7.9934E-6","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-17","2023","02","2.94798E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-18","2023","02","0.0001473988","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-19","2023","02","2.94798E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-20","2023","02","5.89595E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-21","2023","02","0.0001031792","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-23","2023","02","1.47399E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-01","2023","02","5.88254E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-02","2023","02","0.00102188","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-03","2023","02","0.0038122814","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-04","2023","02","0.0031840188","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-05","2023","02","0.0026106321","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-06","2023","02","0.0005553124","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-07","2023","02","1.47399E-5","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-15","2023","02","0.0045490485","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-02-16","2023","02","0.0008977648","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-23","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-01","2023","02","9.88131E-5","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-04","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-13","2023","02","0.0003030006","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-15","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-17","2023","02","NA","NRSC VIC MODEL"
